year,type,name,postal_code,num_cardholders,revenue_self_generated,revenue_total_operating,revenue_total_capital,expend_materials,expend_staff,expend_total_operating,num_print_volumes,num_e_book_audio_titles,hoopla,num_e_learning_services,num_took_e_learning_courses,num_workstations_internet,total_direct_circulation,program_attendance,num_tech_programs,ill_num_borrowed,ill_num_lent,num_use_wifi,num_visits_irl,num_visits_websites,population,households
2019,Public or Union Library,"Cavan Monaghan Public Library Board, Township of",L0A1G0,2500,5176,344682,0,36134,260705,347491,27515,80075,0,0,0,16,38577,4108,30,264,740,300,533,5291,8829,3409
2019,Public or Union Library,Central Manitoulin Twp,P0P1S0,2528,1514,104176,0,11480,78084,100167,536,0,0,0,0,14,21208,783,1,193,0,9,867,2,2084,1629
2019,Public or Union Library,Centre Hastings,K0K2K0,1100,0,153210,0,7690,102975,154863,17787,80075,0,0,0,6,21475,968,1,305,409,20,229,225,4774,2346
2019,Contracting Municipality,Chamberlain Twp,P0J1H0,0,0,7361,0,0,0,7361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,165
2019,Public or Union Library,Champlain Twp,K0B1R0,2189,5450,216978,0,39042,123189,198488,15630,86328,0,0,0,8,25338,3656,0,374,594,29,275,138,8706,4078
2019,Public or Union Library,Chapleau Twp,P0M1K0,334,1532,70416,0,6877,53723,70416,20621,86265,0,1,6,2,7202,392,1,189,163,3,67,0,1956,1068
2019,Contracting Municipality,Chapple Twp,P0W1A0,0,0,5242,0,0,0,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,363
2019,Contracting Municipality,"Charlton and Dack, Municipality of",P0J1H0,0,0,1446,0,0,0,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,285
2019,Public or Union Library,Chatham-Kent,N7M2G6,33223,86320,5278323,0,824491,3505674,5254307,190728,106311,1,2,268,74,827223,36416,218,1026,2159,3069,6624,7528,102042,48051
2019,First Nations Library,Chippewas of Georgina Island FN,L0E1R0,224,0,69870,0,1550,33300,69870,48,0,0,0,0,4,5545,5991,20,0,0,4,25,0,208,0
2019,First Nations Library,Chippewas of Kettle & Stony Point FN,N0N1J1,327,105,33306,0,885,23186,33306,1249,0,0,0,0,1,265,443,0,0,0,77,72,0,1352,0
2019,First Nations Library,Chippewas of Nawash FN,N0H2T0,100,0,18871,0,2331,14000,20332,400,2,0,0,0,1,1800,109,0,0,0,3,25,0,727,0
2019,First Nations Library,Chippewas of Rama FN,L3V6H6,805,0,168227,0,2650,123443,165578,15550,0,0,0,0,21,11500,14937,6,0,0,8,420,0,725,0
2019,Public or Union Library,Clarence-Rockland,K4K1C3,9328,19894,903595,20850,61029,618711,873459,44384,86265,0,1,35,6,93419,8964,32,584,480,90,1544,1132,25326,9771
2019,Public or Union Library,"Clarington, Municipality of",L1C1T7,38320,108199,3389111,140000,533904,2601102,3746449,103832,94966,1,1,99,51,736890,29145,88,2096,1256,3768,8113,6187,92015,34032
2019,Public or Union Library,Clearview Twp,L0M1S0,2756,16594,1032094,4782450,93548,599227,1032094,49447,13776,0,2,16,18,95679,22949,1,549,239,372,914,545,14151,6243
2019,Public or Union Library,Cobalt Twp,P0J1C0,350,901,81812,0,5694,60006,78595,10123,80075,0,2,0,7,3458,377,1,6,63,100,207,153,1128,768
2019,Public or Union Library,Cobourg,K9A5P4,10020,43273,1284440,48000,57093,1004398,1198587,52500,80075,0,0,0,24,198419,16547,0,754,679,262,2744,1623,19440,8958
2019,Public or Union Library,Cochrane Public Library Board,P0L1C0,2016,14974,389023,0,25974,263093,389527,28952,80075,0,3,0,11,31762,7812,117,442,452,73,558,41,4371,2666
2019,Contracting Municipality,Coleman Twp,P0J1C0,0,0,1498,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,398
2019,Public or Union Library,Collingwood,L9Y0W6,9160,52716,1675430,4158,100414,1117915,1675430,49568,13746,0,2,159,29,245153,15111,594,2243,1571,1629,4776,1447,23815,11522
2019,Public or Union Library,Cornwall,K6H1Y2,11737,57405,2394415,185000,225874,1627040,2394415,117968,577457,1,1,70,20,284256,12068,0,3278,3181,268,4946,4480,45723,22007
2019,Public or Union Library,Cramahe Twp,K0K1S0,2250,4065,301779,0,34458,175415,301779,24895,80075,0,1,20,12,13814,4612,28,355,275,351,535,189,6355,2570
2019,First Nations Library,Curve Lake FN,K0L1R0,270,0,27696,0,522,47183,49193,4796,77998,0,0,0,2,1500,88,0,0,0,2,50,0,791,0
2019,Contracting LSB,Dawson LSB,P0P1R0,0,0,274,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2019,Contracting Municipality,Dawson Twp,P0W1L0,0,0,6174,0,0,0,6174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,306
2019,Public or Union Library,Deep River,K0J1P0,2380,16140,439368,0,55882,297224,439368,49523,80075,0,1,16,6,53500,1899,0,559,395,175,741,1189,4109,1999
2019,First Nations Library,Delaware FN,N0P2K0,150,0,14412,70000,39000,26000,65000,350,0,0,0,0,2,150,5,0,0,0,0,30,0,238,0
2019,Public or Union Library,Deseronto,K0K1X0,602,2343,143422,0,9882,77927,122975,24490,80075,0,0,0,15,26005,3866,0,160,5,165,364,3,1645,716
2019,First Nations Library,Dokis FN,P0M2N1,30,0,52373,0,1101,40270,51754,3278,0,0,0,0,6,1,61,1,6,0,34,87,0,203,0
2019,Public or Union Library,Dorion Twp,P0T1K0,192,109,23383,0,3276,16218,22587,11854,0,0,0,0,4,2916,190,0,63,0,5,50,0,316,174
2019,Public or Union Library,Douro-Dummer Twp,K0L1S0,856,216,117703,0,0,61756,81645,14419,80075,0,0,0,5,9051,1263,10,216,191,96,104,30,5869,3619
2019,Public or Union Library,Dryden,P8N2A7,2457,14060,398688,0,41867,288688,392040,28327,80075,1,0,0,7,69104,5515,4,831,474,225,1095,138,7749,3541
2019,Public or Union Library,Dubreuilville Twp,P0S1B0,365,27,1940,0,2703,5562,19370,878,18805,0,0,0,4,1805,0,0,0,0,0,55,0,613,310
2019,Public or Union Library,Ear Falls Twp,P0V1T0,239,3037,73274,0,8323,41629,73274,15007,80075,0,0,0,7,9472,1365,61,293,339,0,155,0,995,559
2019,Public or Union Library,East Ferris,P0H1B0,707,3552,170790,10000,15340,121051,174515,14004,80075,0,0,0,5,31361,394,0,307,152,6,140,60,4862,2157
2019,Contracting Municipality,East Garafraxa Twp,L0N1G0,0,0,33679,0,0,0,48604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,965
2019,Public or Union Library,East Gwillimbury,L9N1P2,8009,30974,1783368,112000,46962,1271711,1574775,43509,182398,1,4,279,26,149697,18028,124,487,412,1915,1555,6106,23991,10606
2019,Contracting Municipality,East Hawkesbury Twp,K0B1P0,0,0,16899,0,0,0,16899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,1522
2019,Public or Union Library,Edwardsburgh/Cardinal Twp,K0E1X0,1879,1575,130948,0,17366,77351,111745,30056,80075,0,0,0,12,7617,3181,0,207,40,30,301,116,7093,3148
2019,"County, County co-operative or Regional Municipality Library",Elgin County,N5R5V1,10925,34118,2940084,34865,332816,1984869,2940084,195099,116010,1,2,106,52,265701,28262,125,1881,1315,366,5369,4746,50069,19499
2019,Public or Union Library,Elizabethtown - Kitley,K0E1A0,1203,0,141240,0,18781,70547,117715,29826,80075,0,0,0,12,13323,2236,19,32,1,8,102,0,9854,4103
2019,Public or Union Library,Elliot Lake,P5A1M7,4490,16650,580162,0,50979,301815,580132,30634,80145,0,0,0,8,79648,2023,30,170,520,405,1002,475,10741,5515
2019,Public or Union Library,Emo Twp,P0W1E0,2126,17433,84647,0,10525,59156,84551,9572,80075,0,1,0,2,9070,149,0,330,265,4,85,0,1333,578
2019,Public or Union Library,Englehart,P0J1H0,780,7491,73040,0,6476,55800,80239,186,70361,0,0,0,5,13280,941,6,267,0,39,137,9,1479,711
2019,Public or Union Library,Espanola,P5E1S4,1286,9347,352106,0,31746,266993,348107,35726,80075,0,1,6,5,33331,2303,2,136,370,44,929,0,4996,2440
2019,Public or Union Library,Essa,L0M1B1,5870,44919,703101,0,110487,502033,703101,38320,13776,0,2,125,32,150189,14446,23,721,305,461,1417,711,21083,6954
2019,"County, County co-operative or Regional Municipality Library",Essex County,N8M1Y3,53507,82506,5950070,418930,921025,3753087,5839204,290563,27078,1,2,22,60,816459,29593,58,366,7043,6061,8696,6285,181530,72513
2019,Contracting Municipality,Evanturel Twp,P0J1H0,0,0,7869,0,0,0,7869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,211
2019,Contracting Municipality,Faraday Twp,K0L1C0,0,0,30595,0,0,0,30595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,1465
